instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,season_name,weather_name,weekday_name,time_of_day,casual_ratio,log_casual,log_registered,log_cnt
4732,2011-07-21,3,0,7,1,0,4,1,2,0.74,0.84,0.2239,5,16,21,Fall,Mist,Thursday,Night/Early Morning,0.23809523809523808,1.791759469228055,2.833213344056216,3.091042453358316
4733,2011-07-21,3,0,7,2,0,4,1,2,0.74,0.84,0.2239,2,4,6,Fall,Mist,Thursday,Night/Early Morning,0.3333333333333333,1.0986122886681096,1.6094379124341003,1.9459101490553132
4734,2011-07-21,3,0,7,3,0,4,1,2,0.74,0.79,0.1343,1,5,6,Fall,Mist,Thursday,Night/Early Morning,0.16666666666666666,0.6931471805599453,1.791759469228055,1.9459101490553132
4735,2011-07-21,3,0,7,4,0,4,1,2,0.72,0.84,0.1045,0,4,4,Fall,Mist,Thursday,Night/Early Morning,0.0,0.0,1.6094379124341003,1.6094379124341003
4736,2011-07-21,3,0,7,5,0,4,1,2,0.72,0.84,0.1045,2,16,18,Fall,Mist,Thursday,Night/Early Morning,0.1111111111111111,1.0986122886681096,2.833213344056216,2.9444389791664403
4737,2011-07-21,3,0,7,6,0,4,1,2,0.72,0.84,0.1045,6,111,117,Fall,Mist,Thursday,Morning Peak,0.05128205128205128,1.9459101490553132,4.718498871295094,4.770684624465665
4738,2011-07-21,3,0,7,7,0,4,1,2,0.74,0.84,0.1343,23,251,274,Fall,Mist,Thursday,Morning Peak,0.08394160583941605,3.1780538303479458,5.529429087511423,5.616771097666572
4739,2011-07-21,3,0,7,8,0,4,1,2,0.76,0.79,0.1642,23,358,381,Fall,Mist,Thursday,Morning Peak,0.06036745406824147,3.1780538303479458,5.883322388488279,5.945420608606575
4740,2011-07-21,3,0,7,9,0,4,1,2,0.8,0.75,0.2537,34,166,200,Fall,Mist,Thursday,Morning Peak,0.17,3.5553480614894135,5.117993812416755,5.303304908059076
4741,2011-07-21,3,0,7,10,0,4,1,2,0.82,0.71,0.2239,31,47,78,Fall,Mist,Thursday,Midday,0.3974358974358974,3.4657359027997265,3.8712010109078907,4.3694478524670215
4742,2011-07-21,3,0,7,11,0,4,1,2,0.86,0.63,0.2985,27,79,106,Fall,Mist,Thursday,Midday,0.25471698113207547,3.332204510175204,4.382026634673881,4.672828834461906
4743,2011-07-21,3,0,7,12,0,4,1,1,0.88,0.56,0.3284,29,106,135,Fall,Clear,Thursday,Midday,0.21481481481481482,3.4011973816621555,4.672828834461906,4.912654885736052
4744,2011-07-21,3,0,7,13,0,4,1,1,0.88,0.56,0.2985,21,81,102,Fall,Clear,Thursday,Midday,0.20588235294117646,3.091042453358316,4.406719247264253,4.634728988229636
4745,2011-07-21,3,0,7,14,0,4,1,1,0.9,0.5,0.3582,50,97,147,Fall,Clear,Thursday,Midday,0.3401360544217687,3.9318256327243257,4.584967478670572,4.997212273764115
4746,2011-07-21,3,0,7,15,0,4,1,1,0.9,0.53,0.2537,40,93,133,Fall,Clear,Thursday,Midday,0.3007518796992481,3.713572066704308,4.543294782270004,4.897839799950911
4747,2011-07-21,3,0,7,16,0,4,1,1,0.92,0.48,0.2836,43,167,210,Fall,Clear,Thursday,Evening Peak,0.20476190476190476,3.784189633918261,5.123963979403259,5.351858133476067
4748,2011-07-21,3,0,7,17,0,4,1,1,0.92,0.45,0.2985,40,374,414,Fall,Clear,Thursday,Evening Peak,0.0966183574879227,3.713572066704308,5.926926025970411,6.028278520230698
4749,2011-07-21,3,0,7,18,0,4,1,1,0.9,0.5,0.2836,39,343,382,Fall,Clear,Thursday,Evening Peak,0.10209424083769633,3.6888794541139363,5.840641657373398,5.948034989180646
4750,2011-07-21,3,0,7,19,0,4,1,1,0.86,0.67,0.2836,51,233,284,Fall,Clear,Thursday,Evening Peak,0.1795774647887324,3.9512437185814275,5.455321115357702,5.652489180268651
4751,2011-07-21,3,0,7,20,0,4,1,1,0.84,0.71,0.2239,38,199,237,Fall,Clear,Thursday,Night/Early Morning,0.16033755274261605,3.6635616461296463,5.298317366548036,5.472270673671475
4752,2011-07-21,3,0,7,21,0,4,1,1,0.82,0.75,0.2239,38,187,225,Fall,Clear,Thursday,Night/Early Morning,0.1688888888888889,3.6635616461296463,5.236441962829949,5.420534999272286
4753,2011-07-21,3,0,7,22,0,4,1,1,0.82,0.71,0.1642,36,113,149,Fall,Clear,Thursday,Night/Early Morning,0.24161073825503357,3.6109179126442243,4.736198448394496,5.0106352940962555
4754,2011-07-21,3,0,7,23,0,4,1,1,0.8,0.71,0.1642,40,73,113,Fall,Clear,Thursday,Night/Early Morning,0.35398230088495575,3.713572066704308,4.304065093204169,4.736198448394496
4755,2011-07-22,3,0,7,0,0,5,1,1,0.82,0.63,0.1343,9,51,60,Fall,Clear,Friday,Night/Early Morning,0.15,2.302585092994046,3.9512437185814275,4.110873864173311
4756,2011-07-22,3,0,7,1,0,5,1,1,0.8,0.63,0.0,7,17,24,Fall,Clear,Friday,Night/Early Morning,0.2916666666666667,2.0794415416798357,2.8903717578961645,3.2188758248682006
4757,2011-07-22,3,0,7,2,0,5,1,1,0.78,0.79,0.1343,0,14,14,Fall,Clear,Friday,Night/Early Morning,0.0,0.0,2.70805020110221,2.70805020110221
4758,2011-07-22,3,0,7,3,0,5,1,1,0.78,0.75,0.1045,1,6,7,Fall,Clear,Friday,Night/Early Morning,0.14285714285714285,0.6931471805599453,1.9459101490553132,2.0794415416798357
4759,2011-07-22,3,0,7,4,0,5,1,1,0.76,0.75,0.1045,8,5,13,Fall,Clear,Friday,Night/Early Morning,0.6153846153846154,2.1972245773362196,1.791759469228055,2.639057329615259
4760,2011-07-22,3,0,7,5,0,5,1,1,0.74,0.79,0.1045,2,17,19,Fall,Clear,Friday,Night/Early Morning,0.10526315789473684,1.0986122886681096,2.8903717578961645,2.995732273553991
4761,2011-07-22,3,0,7,6,0,5,1,1,0.76,0.75,0.0896,13,83,96,Fall,Clear,Friday,Morning Peak,0.13541666666666666,2.639057329615259,4.430816798843313,4.574710978503383
4762,2011-07-22,3,0,7,7,0,5,1,2,0.8,0.66,0.1045,20,232,252,Fall,Mist,Friday,Morning Peak,0.07936507936507936,3.044522437723423,5.4510384535657,5.53338948872752
4763,2011-07-22,3,0,7,8,0,5,1,2,0.84,0.63,0.1642,30,292,322,Fall,Mist,Friday,Morning Peak,0.09316770186335403,3.4339872044851463,5.680172609017068,5.777652323222656
4764,2011-07-22,3,0,7,9,0,5,1,1,0.86,0.63,0.0896,31,177,208,Fall,Clear,Friday,Morning Peak,0.14903846153846154,3.4657359027997265,5.181783550292085,5.342334251964811
4765,2011-07-22,3,0,7,10,0,5,1,1,0.9,0.53,0.0896,32,83,115,Fall,Clear,Friday,Midday,0.2782608695652174,3.4965075614664802,4.430816798843313,4.7535901911063645
4766,2011-07-22,3,0,7,11,0,5,1,1,0.9,0.5,0.1045,23,86,109,Fall,Clear,Friday,Midday,0.21100917431192662,3.1780538303479458,4.465908118654584,4.700480365792417
4767,2011-07-22,3,0,7,12,0,5,1,1,0.94,0.48,0.1642,20,95,115,Fall,Clear,Friday,Midday,0.17391304347826086,3.044522437723423,4.564348191467836,4.7535901911063645
4768,2011-07-22,3,0,7,13,0,5,1,1,0.94,0.51,0.1642,25,98,123,Fall,Clear,Friday,Midday,0.2032520325203252,3.258096538021482,4.59511985013459,4.820281565605037
4769,2011-07-22,3,0,7,14,0,5,1,1,0.96,0.48,0.2985,24,77,101,Fall,Clear,Friday,Midday,0.2376237623762376,3.2188758248682006,4.356708826689592,4.624972813284271
4770,2011-07-22,3,0,7,15,0,5,1,1,0.94,0.51,0.2985,32,101,133,Fall,Clear,Friday,Midday,0.24060150375939848,3.4965075614664802,4.624972813284271,4.897839799950911
4771,2011-07-22,3,0,7,16,0,5,1,3,0.9,0.39,0.2985,29,153,182,Fall,Light Snow/Rain,Friday,Evening Peak,0.15934065934065933,3.4011973816621555,5.0369526024136295,5.209486152841421
4772,2011-07-22,3,0,7,17,0,5,1,1,0.88,0.47,0.1045,35,271,306,Fall,Clear,Friday,Evening Peak,0.11437908496732026,3.58351893845611,5.605802066295998,5.726847747587197
4773,2011-07-22,3,0,7,18,0,5,1,1,0.9,0.37,0.1642,34,250,284,Fall,Clear,Friday,Evening Peak,0.11971830985915492,3.5553480614894135,5.5254529391317835,5.652489180268651
4774,2011-07-22,3,0,7,19,0,5,1,2,0.86,0.41,0.1045,40,210,250,Fall,Mist,Friday,Evening Peak,0.16,3.713572066704308,5.351858133476067,5.5254529391317835
4775,2011-07-22,3,0,7,20,0,5,1,1,0.84,0.56,0.0,46,166,212,Fall,Clear,Friday,Night/Early Morning,0.2169811320754717,3.8501476017100584,5.117993812416755,5.3612921657094255
4776,2011-07-22,3,0,7,21,0,5,1,1,0.82,0.59,0.0896,38,152,190,Fall,Clear,Friday,Night/Early Morning,0.2,3.6635616461296463,5.030437921392435,5.25227342804663
4777,2011-07-22,3,0,7,22,0,5,1,2,0.84,0.49,0.0896,44,105,149,Fall,Mist,Friday,Night/Early Morning,0.2953020134228188,3.8066624897703196,4.663439094112067,5.0106352940962555
4778,2011-07-22,3,0,7,23,0,5,1,1,0.8,0.63,0.194,19,84,103,Fall,Clear,Friday,Night/Early Morning,0.18446601941747573,2.995732273553991,4.442651256490317,4.6443908991413725
4779,2011-07-23,3,0,7,0,0,6,0,1,0.82,0.56,0.0,16,85,101,Fall,Clear,Saturday,Night/Early Morning,0.15841584158415842,2.833213344056216,4.454347296253507,4.624972813284271
4780,2011-07-23,3,0,7,1,0,6,0,1,0.82,0.52,0.1045,13,57,70,Fall,Clear,Saturday,Night/Early Morning,0.18571428571428572,2.639057329615259,4.060443010546419,4.2626798770413155
4781,2011-07-23,3,0,7,2,0,6,0,1,0.82,0.52,0.0,13,48,61,Fall,Clear,Saturday,Night/Early Morning,0.21311475409836064,2.639057329615259,3.8918202981106265,4.127134385045092
4782,2011-07-23,3,0,7,3,0,6,0,1,0.78,0.66,0.0896,6,16,22,Fall,Clear,Saturday,Night/Early Morning,0.2727272727272727,1.9459101490553132,2.833213344056216,3.1354942159291497
4783,2011-07-23,3,0,7,4,0,6,0,1,0.76,0.66,0.1045,5,4,9,Fall,Clear,Saturday,Night/Early Morning,0.5555555555555556,1.791759469228055,1.6094379124341003,2.302585092994046
4784,2011-07-23,3,0,7,5,0,6,0,1,0.76,0.62,0.1343,1,6,7,Fall,Clear,Saturday,Night/Early Morning,0.14285714285714285,0.6931471805599453,1.9459101490553132,2.0794415416798357
4785,2011-07-23,3,0,7,6,0,6,0,1,0.8,0.52,0.1343,6,19,25,Fall,Clear,Saturday,Morning Peak,0.24,1.9459101490553132,2.995732273553991,3.258096538021482
4786,2011-07-23,3,0,7,7,0,6,0,1,0.8,0.52,0.1045,7,38,45,Fall,Clear,Saturday,Morning Peak,0.15555555555555556,2.0794415416798357,3.6635616461296463,3.828641396489095
4787,2011-07-23,3,0,7,8,0,6,0,1,0.84,0.49,0.2537,24,85,109,Fall,Clear,Saturday,Morning Peak,0.22018348623853212,3.2188758248682006,4.454347296253507,4.700480365792417
4788,2011-07-23,3,0,7,9,0,6,0,1,0.84,0.49,0.1642,30,102,132,Fall,Clear,Saturday,Morning Peak,0.22727272727272727,3.4339872044851463,4.634728988229636,4.890349128221754
4789,2011-07-23,3,0,7,10,0,6,0,1,0.86,0.41,0.2239,61,137,198,Fall,Clear,Saturday,Midday,0.30808080808080807,4.127134385045092,4.927253685157205,5.293304824724492
4790,2011-07-23,3,0,7,11,0,6,0,1,0.9,0.37,0.194,62,154,216,Fall,Clear,Saturday,Midday,0.28703703703703703,4.143134726391533,5.043425116919247,5.37989735354046
4791,2011-07-23,3,0,7,12,0,6,0,1,0.92,0.37,0.1045,71,164,235,Fall,Clear,Saturday,Midday,0.3021276595744681,4.276666119016055,5.10594547390058,5.4638318050256105
4792,2011-07-23,3,0,7,13,0,6,0,1,0.94,0.38,0.1642,78,167,245,Fall,Clear,Saturday,Midday,0.3183673469387755,4.3694478524670215,5.123963979403259,5.5053315359323625
4793,2011-07-23,3,0,7,14,0,6,0,1,0.92,0.42,0.0,84,152,236,Fall,Clear,Saturday,Midday,0.3559322033898305,4.442651256490317,5.030437921392435,5.4680601411351315
4794,2011-07-23,3,0,7,15,0,6,0,1,0.94,0.38,0.0,78,137,215,Fall,Clear,Saturday,Midday,0.3627906976744186,4.3694478524670215,4.927253685157205,5.375278407684165
4795,2011-07-23,3,0,7,16,0,6,0,1,0.94,0.38,0.1343,70,151,221,Fall,Clear,Saturday,Evening Peak,0.3167420814479638,4.2626798770413155,5.0238805208462765,5.402677381872279
4796,2011-07-23,3,0,7,17,0,6,0,1,0.94,0.38,0.1343,70,127,197,Fall,Clear,Saturday,Evening Peak,0.3553299492385787,4.2626798770413155,4.852030263919617,5.288267030694535
4797,2011-07-23,3,0,7,18,0,6,0,1,0.92,0.4,0.2239,62,134,196,Fall,Clear,Saturday,Evening Peak,0.3163265306122449,4.143134726391533,4.90527477843843,5.2832037287379885
4798,2011-07-23,3,0,7,19,0,6,0,2,0.82,0.59,0.1343,80,137,217,Fall,Mist,Saturday,Evening Peak,0.3686635944700461,4.394449154672439,4.927253685157205,5.384495062789089
4799,2011-07-23,3,0,7,20,0,6,0,1,0.82,0.59,0.2239,47,98,145,Fall,Clear,Saturday,Night/Early Morning,0.32413793103448274,3.8712010109078907,4.59511985013459,4.983606621708336
4800,2011-07-23,3,0,7,21,0,6,0,1,0.82,0.59,0.2239,39,115,154,Fall,Clear,Saturday,Night/Early Morning,0.2532467532467532,3.6888794541139363,4.7535901911063645,5.043425116919247
4801,2011-07-23,3,0,7,22,0,6,0,1,0.8,0.59,0.194,37,88,125,Fall,Clear,Saturday,Night/Early Morning,0.296,3.6375861597263857,4.48863636973214,4.836281906951478
4802,2011-07-23,3,0,7,23,0,6,0,1,0.8,0.59,0.1045,27,77,104,Fall,Clear,Saturday,Night/Early Morning,0.25961538461538464,3.332204510175204,4.356708826689592,4.653960350157523
4803,2011-07-24,3,0,7,0,0,0,0,1,0.8,0.59,0.1045,42,77,119,Fall,Clear,Sunday,Night/Early Morning,0.35294117647058826,3.7612001156935624,4.356708826689592,4.787491742782046
4804,2011-07-24,3,0,7,1,0,0,0,1,0.78,0.66,0.1045,33,63,96,Fall,Clear,Sunday,Night/Early Morning,0.34375,3.5263605246161616,4.1588830833596715,4.574710978503383
4805,2011-07-24,3,0,7,2,0,0,0,1,0.8,0.63,0.0896,12,48,60,Fall,Clear,Sunday,Night/Early Morning,0.2,2.5649493574615367,3.8918202981106265,4.110873864173311
4806,2011-07-24,3,0,7,3,0,0,0,1,0.8,0.63,0.0896,17,20,37,Fall,Clear,Sunday,Night/Early Morning,0.4594594594594595,2.8903717578961645,3.044522437723423,3.6375861597263857
4807,2011-07-24,3,0,7,4,0,0,0,1,0.78,0.66,0.1045,1,5,6,Fall,Clear,Sunday,Night/Early Morning,0.16666666666666666,0.6931471805599453,1.791759469228055,1.9459101490553132
4808,2011-07-24,3,0,7,5,0,0,0,1,0.78,0.66,0.0896,5,3,8,Fall,Clear,Sunday,Night/Early Morning,0.625,1.791759469228055,1.3862943611198906,2.1972245773362196
4809,2011-07-24,3,0,7,6,0,0,0,2,0.8,0.63,0.0896,9,13,22,Fall,Mist,Sunday,Morning Peak,0.4090909090909091,2.302585092994046,2.639057329615259,3.1354942159291497
4810,2011-07-24,3,0,7,7,0,0,0,1,0.8,0.59,0.1343,6,29,35,Fall,Clear,Sunday,Morning Peak,0.17142857142857143,1.9459101490553132,3.4011973816621555,3.58351893845611
4811,2011-07-24,3,0,7,8,0,0,0,1,0.82,0.56,0.2836,22,82,104,Fall,Clear,Sunday,Morning Peak,0.21153846153846154,3.1354942159291497,4.418840607796598,4.653960350157523
4812,2011-07-24,3,0,7,9,0,0,0,1,0.82,0.56,0.3881,42,112,154,Fall,Clear,Sunday,Morning Peak,0.2727272727272727,3.7612001156935624,4.727387818712341,5.043425116919247
4813,2011-07-24,3,0,7,10,0,0,0,1,0.86,0.5,0.3284,61,165,226,Fall,Clear,Sunday,Midday,0.26991150442477874,4.127134385045092,5.111987788356544,5.424950017481403
4814,2011-07-24,3,0,7,11,0,0,0,1,0.84,0.53,0.2537,74,169,243,Fall,Clear,Sunday,Midday,0.3045267489711934,4.31748811353631,5.135798437050262,5.497168225293202
4815,2011-07-24,3,0,7,12,0,0,0,1,0.9,0.45,0.1642,85,161,246,Fall,Clear,Sunday,Midday,0.34552845528455284,4.454347296253507,5.087596335232384,5.5093883366279774
4816,2011-07-24,3,0,7,13,0,0,0,1,0.86,0.47,0.2239,90,162,252,Fall,Clear,Sunday,Midday,0.35714285714285715,4.51085950651685,5.093750200806762,5.53338948872752
4817,2011-07-24,3,0,7,14,0,0,0,1,0.86,0.5,0.2836,79,204,283,Fall,Clear,Sunday,Midday,0.2791519434628975,4.382026634673881,5.3230099791384085,5.648974238161206
4818,2011-07-24,3,0,7,15,0,0,0,1,0.9,0.42,0.2537,68,170,238,Fall,Clear,Sunday,Midday,0.2857142857142857,4.23410650459726,5.14166355650266,5.476463551931511
4819,2011-07-24,3,0,7,16,0,0,0,1,0.9,0.42,0.2537,62,187,249,Fall,Clear,Sunday,Evening Peak,0.24899598393574296,4.143134726391533,5.236441962829949,5.521460917862246
4820,2011-07-24,3,0,7,17,0,0,0,1,0.9,0.39,0.1045,75,174,249,Fall,Clear,Sunday,Evening Peak,0.30120481927710846,4.330733340286331,5.1647859739235145,5.521460917862246
4821,2011-07-24,3,0,7,18,0,0,0,1,0.88,0.42,0.1642,67,176,243,Fall,Clear,Sunday,Evening Peak,0.2757201646090535,4.219507705176107,5.176149732573829,5.497168225293202
4822,2011-07-24,3,0,7,19,0,0,0,1,0.86,0.47,0.1642,70,170,240,Fall,Clear,Sunday,Evening Peak,0.2916666666666667,4.2626798770413155,5.14166355650266,5.484796933490655
4823,2011-07-24,3,0,7,20,0,0,0,1,0.84,0.49,0.1642,52,143,195,Fall,Clear,Sunday,Night/Early Morning,0.26666666666666666,3.970291913552122,4.969813299576001,5.278114659230518
4824,2011-07-24,3,0,7,21,0,0,0,1,0.8,0.63,0.1343,42,111,153,Fall,Clear,Sunday,Night/Early Morning,0.27450980392156865,3.7612001156935624,4.718498871295094,5.0369526024136295
4825,2011-07-24,3,0,7,22,0,0,0,1,0.78,0.66,0.0,23,75,98,Fall,Clear,Sunday,Night/Early Morning,0.23469387755102042,3.1780538303479458,4.330733340286331,4.59511985013459
4826,2011-07-24,3,0,7,23,0,0,0,2,0.76,0.7,0.0896,13,37,50,Fall,Mist,Sunday,Night/Early Morning,0.26,2.639057329615259,3.6375861597263857,3.9318256327243257
4827,2011-07-25,3,0,7,0,0,1,1,2,0.76,0.7,0.0,17,17,34,Fall,Mist,Monday,Night/Early Morning,0.5,2.8903717578961645,2.8903717578961645,3.5553480614894135
4828,2011-07-25,3,0,7,1,0,1,1,2,0.76,0.75,0.0896,4,8,12,Fall,Mist,Monday,Night/Early Morning,0.3333333333333333,1.6094379124341003,2.1972245773362196,2.5649493574615367
4829,2011-07-25,3,0,7,2,0,1,1,2,0.74,0.79,0.0896,3,3,6,Fall,Mist,Monday,Night/Early Morning,0.5,1.3862943611198906,1.3862943611198906,1.9459101490553132
4830,2011-07-25,3,0,7,3,0,1,1,1,0.74,0.79,0.0,2,2,4,Fall,Clear,Monday,Night/Early Morning,0.5,1.0986122886681096,1.0986122886681096,1.6094379124341003
4831,2011-07-25,3,0,7,4,0,1,1,1,0.72,0.84,0.0896,0,6,6,Fall,Clear,Monday,Night/Early Morning,0.0,0.0,1.9459101490553132,1.9459101490553132
4832,2011-07-25,3,0,7,5,0,1,1,1,0.72,0.84,0.0896,2,22,24,Fall,Clear,Monday,Night/Early Morning,0.08333333333333333,1.0986122886681096,3.1354942159291497,3.2188758248682006
4833,2011-07-25,3,0,7,6,0,1,1,2,0.72,0.84,0.0896,7,100,107,Fall,Mist,Monday,Morning Peak,0.06542056074766354,2.0794415416798357,4.61512051684126,4.68213122712422
4834,2011-07-25,3,0,7,7,0,1,1,2,0.74,0.79,0.0,20,257,277,Fall,Mist,Monday,Morning Peak,0.07220216606498195,3.044522437723423,5.552959584921617,5.627621113690637
4835,2011-07-25,3,0,7,8,0,1,1,2,0.76,0.75,0.0,34,353,387,Fall,Mist,Monday,Morning Peak,0.08785529715762273,3.5553480614894135,5.869296913133774,5.961005339623274
4836,2011-07-25,3,0,7,9,0,1,1,1,0.8,0.66,0.0,11,124,135,Fall,Clear,Monday,Morning Peak,0.08148148148148149,2.4849066497880004,4.8283137373023015,4.912654885736052
4837,2011-07-25,3,0,7,10,0,1,1,1,0.82,0.59,0.0,30,54,84,Fall,Clear,Monday,Midday,0.35714285714285715,3.4339872044851463,4.007333185232471,4.442651256490317
4838,2011-07-25,3,0,7,11,0,1,1,2,0.84,0.59,0.194,24,83,107,Fall,Mist,Monday,Midday,0.22429906542056074,3.2188758248682006,4.430816798843313,4.68213122712422
4839,2011-07-25,3,0,7,12,0,1,1,2,0.84,0.59,0.194,17,50,67,Fall,Mist,Monday,Midday,0.2537313432835821,2.8903717578961645,3.9318256327243257,4.219507705176107
4840,2011-07-25,3,0,7,13,0,1,1,2,0.74,0.74,0.1343,14,64,78,Fall,Mist,Monday,Midday,0.1794871794871795,2.70805020110221,4.174387269895637,4.3694478524670215
4841,2011-07-25,3,0,7,14,0,1,1,2,0.72,0.79,0.194,28,62,90,Fall,Mist,Monday,Midday,0.3111111111111111,3.367295829986474,4.143134726391533,4.51085950651685
4842,2011-07-25,3,0,7,15,0,1,1,1,0.7,0.84,0.3881,16,96,112,Fall,Clear,Monday,Midday,0.14285714285714285,2.833213344056216,4.574710978503383,4.727387818712341
4843,2011-07-25,3,0,7,16,0,1,1,1,0.7,0.84,0.2239,37,161,198,Fall,Clear,Monday,Evening Peak,0.18686868686868688,3.6375861597263857,5.087596335232384,5.293304824724492
4844,2011-07-25,3,0,7,17,0,1,1,1,0.72,0.74,0.0,48,437,485,Fall,Clear,Monday,Evening Peak,0.09896907216494845,3.8918202981106265,6.082218910376446,6.186208623900494
4845,2011-07-25,3,0,7,18,0,1,1,1,0.74,0.74,0.0896,60,473,533,Fall,Clear,Monday,Evening Peak,0.1125703564727955,4.110873864173311,6.161207321695077,6.280395838960195
4846,2011-07-25,3,0,7,19,0,1,1,1,0.74,0.7,0.0896,62,324,386,Fall,Clear,Monday,Evening Peak,0.16062176165803108,4.143134726391533,5.783825182329737,5.958424693029782
4847,2011-07-25,3,0,7,20,0,1,1,1,0.72,0.74,0.1343,55,247,302,Fall,Clear,Monday,Night/Early Morning,0.18211920529801323,4.02535169073515,5.5134287461649825,5.713732805509369
4848,2011-07-25,3,0,7,21,0,1,1,1,0.7,0.84,0.0,41,153,194,Fall,Clear,Monday,Night/Early Morning,0.211340206185567,3.7376696182833684,5.0369526024136295,5.272999558563747
4849,2011-07-25,3,0,7,22,0,1,1,1,0.7,0.84,0.0,13,112,125,Fall,Clear,Monday,Night/Early Morning,0.104,2.639057329615259,4.727387818712341,4.836281906951478
4850,2011-07-25,3,0,7,23,0,1,1,1,0.7,0.84,0.0896,23,64,87,Fall,Clear,Monday,Night/Early Morning,0.26436781609195403,3.1780538303479458,4.174387269895637,4.477336814478207
4851,2011-07-26,3,0,7,0,0,2,1,1,0.7,0.79,0.1045,8,20,28,Fall,Clear,Tuesday,Night/Early Morning,0.2857142857142857,2.1972245773362196,3.044522437723423,3.367295829986474
4852,2011-07-26,3,0,7,1,0,2,1,1,0.7,0.79,0.1045,6,6,12,Fall,Clear,Tuesday,Night/Early Morning,0.5,1.9459101490553132,1.9459101490553132,2.5649493574615367
4853,2011-07-26,3,0,7,2,0,2,1,1,0.68,0.89,0.1045,1,6,7,Fall,Clear,Tuesday,Night/Early Morning,0.14285714285714285,0.6931471805599453,1.9459101490553132,2.0794415416798357
4854,2011-07-26,3,0,7,3,0,2,1,1,0.68,0.89,0.1343,2,2,4,Fall,Clear,Tuesday,Night/Early Morning,0.5,1.0986122886681096,1.0986122886681096,1.6094379124341003
4855,2011-07-26,3,0,7,4,0,2,1,1,0.68,0.88,0.1642,0,6,6,Fall,Clear,Tuesday,Night/Early Morning,0.0,0.0,1.9459101490553132,1.9459101490553132
4856,2011-07-26,3,0,7,5,0,2,1,1,0.66,0.89,0.0896,3,24,27,Fall,Clear,Tuesday,Night/Early Morning,0.1111111111111111,1.3862943611198906,3.2188758248682006,3.332204510175204
4857,2011-07-26,3,0,7,6,0,2,1,1,0.68,0.83,0.2239,2,108,110,Fall,Clear,Tuesday,Morning Peak,0.01818181818181818,1.0986122886681096,4.6913478822291435,4.709530201312334
4858,2011-07-26,3,0,7,7,0,2,1,1,0.72,0.66,0.2836,30,288,318,Fall,Clear,Tuesday,Morning Peak,0.09433962264150944,3.4339872044851463,5.666426688112432,5.765191102784844
4859,2011-07-26,3,0,7,8,0,2,1,1,0.74,0.55,0.194,32,392,424,Fall,Clear,Tuesday,Morning Peak,0.07547169811320754,3.4965075614664802,5.973809611869261,6.052089168924417
4860,2011-07-26,3,0,7,9,0,2,1,1,0.76,0.4,0.2239,25,162,187,Fall,Clear,Tuesday,Morning Peak,0.13368983957219252,3.258096538021482,5.093750200806762,5.236441962829949
4861,2011-07-26,3,0,7,10,0,2,1,1,0.8,0.31,0.2239,42,96,138,Fall,Clear,Tuesday,Midday,0.30434782608695654,3.7612001156935624,4.574710978503383,4.9344739331306915
4862,2011-07-26,3,0,7,11,0,2,1,1,0.82,0.3,0.0,49,102,151,Fall,Clear,Tuesday,Midday,0.32450331125827814,3.912023005428146,4.634728988229636,5.0238805208462765
4863,2011-07-26,3,0,7,12,0,2,1,1,0.84,0.28,0.0,25,122,147,Fall,Clear,Tuesday,Midday,0.17006802721088435,3.258096538021482,4.812184355372417,4.997212273764115
4864,2011-07-26,3,0,7,13,0,2,1,1,0.84,0.32,0.2985,43,139,182,Fall,Clear,Tuesday,Midday,0.23626373626373626,3.784189633918261,4.941642422609304,5.209486152841421
4865,2011-07-26,3,0,7,14,0,2,1,1,0.86,0.3,0.2836,46,101,147,Fall,Clear,Tuesday,Midday,0.3129251700680272,3.8501476017100584,4.624972813284271,4.997212273764115
4866,2011-07-26,3,0,7,15,0,2,1,1,0.88,0.28,0.3284,49,114,163,Fall,Clear,Tuesday,Midday,0.3006134969325153,3.912023005428146,4.74493212836325,5.099866427824199
4867,2011-07-26,3,0,7,16,0,2,1,1,0.86,0.36,0.2836,41,213,254,Fall,Clear,Tuesday,Evening Peak,0.16141732283464566,3.7376696182833684,5.365976015021851,5.541263545158426
4868,2011-07-26,3,0,7,17,0,2,1,1,0.86,0.36,0.3582,72,465,537,Fall,Clear,Tuesday,Evening Peak,0.1340782122905028,4.290459441148391,6.144185634125646,6.2878585601617845
4869,2011-07-26,3,0,7,18,0,2,1,1,0.84,0.39,0.3881,68,478,546,Fall,Clear,Tuesday,Evening Peak,0.12454212454212454,4.23410650459726,6.171700597410915,6.304448802421981
4870,2011-07-26,3,0,7,19,0,2,1,1,0.82,0.43,0.2985,69,329,398,Fall,Clear,Tuesday,Evening Peak,0.17336683417085427,4.248495242049359,5.799092654460526,5.988961416889864
4871,2011-07-26,3,0,7,20,0,2,1,1,0.8,0.46,0.2537,47,243,290,Fall,Clear,Tuesday,Night/Early Morning,0.16206896551724137,3.8712010109078907,5.497168225293202,5.673323267171493
4872,2011-07-26,3,0,7,21,0,2,1,1,0.78,0.49,0.2239,45,222,267,Fall,Clear,Tuesday,Night/Early Morning,0.16853932584269662,3.828641396489095,5.407171771460119,5.5909869805108565
